Beleuchtung;U [V];I [mA];R [Ohm];Leistung [mW];Leistung_normiert [%]
50%;0,0003;0;;0;0
50%;2,063;0;;0;0
50%;2,051;1,09;1860;2,23559;0,6
50%;2,035;0,304;664;0,61864;0,2
50%;2,011;6,79;275;13,65469;3,6
50%;1,958;15,09;125;29,54622;7,8
50%;1,914;20,02;93;38,31828;10,2
50%;1,856;25,17;71;46,71552;12,4
50%;1,771;29,83;56;52,82893;14
50%;1,595;34,93;41;55,71335;14,8
50%;1,281;38,85;29;49,76685;13,2
50%;0,98;39,37;22;38,5826;10,2
50%;0,517;39,48;10;20,41116;5,4
50%;0,488;39,85;8,5;19,4468;5,2
50%;0,489;40;7;19,56;5,2
50%;0,34;40;5,5;13,6;3,6
50%;0,28;40,1;4;11,228;3
50%;0,22;40,2;2,5;8,844;2,3
50%;0,182;40,1;1,5;7,2982;1,9
50%;0,16;40,3;0,95;6,448;1,7
50%;0,146;40,2;0,6;5,8692;1,6
50%;0,143;40,2;0,4;5,7486;1,5
50%;0,129;40,2;0,25;5,1858;1,4
50%;0,186;40,2;0,1;7,4772;2
50%;0,117;40;0;4,68;1,2
100%;0;0;;0;0
100%;2,112;0;;0;0
100%;2,084;2,11;1860;4,39724;1,2
100%;2,055;3,01;664;6,18555;1,6
100%;2,032;7,3;275;14,8336;3,9
100%;2,014;15,66;125;31,53924;8,4
100%;1,998;20,88;93;41,71824;11,1
100%;1,985;26,9;71;53,3965;14,1
100%;1,972;33,54;56;66,14088;17,5
100%;1,955;44,6;41;87,193;23,1
100%;1,934;60,8;29;117,5872;31,2
100%;1,911;76,5;22;146,1915;38,7
100%;1,832;139,4;10;255,3808;67,7
100%;1,97;;;;
100%;1,796;156;8,5;280,176;74,2
100%;1,758;175,7;7;308,8806;81,8
100%;1,706;200,8;5,5;342,5648;90,8
100%;1,602;231,6;4;371,0232;98,3
100%;1,441;261,9;2,5;377,3979;100
100%;1,231;272,9;1,5;335,9399;89
100%;1,084;275,2;0,95;298,3168;79
100%;1,056;276,6;0,6;292,0896;77,4
100%;0,97;277,5;0,4;269,175;71,3
100%;0,892;277,8;0,25;247,7976;65,7
100%;0,856;278,6;0,1;238,4816;63,2
100%;1,917;;;;
100%;0;0;;0;0
